4.05832824,0.04052659
4.157444354,0.046284808
4.256560468,0.05266892
4.355676581,0.059553746
4.454792695,0.067690358
4.553908809,0.076578043
4.653024923,0.086717514
4.752141037,0.097733236
4.851257151,0.110125923
4.950373265,0.123520039
5.049489379,0.138791835
5.148605493,0.155315418
5.247721607,0.173591502
5.346837721,0.193870444
5.445953835,0.215776709
5.545069949,0.239560653
5.644186062,0.265472635
5.743302176,0.29301194
5.837913012,0.32145253
5.928018571,0.350644193
6.013618851,0.379468665
6.094713853,0.408078942
6.175808855,0.438066185
6.256903858,0.469277396
6.333493582,0.499149892
6.410083306,0.530475851
6.486673031,0.561801809
6.558757477,0.592439285
6.630841924,0.622904641
6.70292637,0.654058479
6.775010817,0.685040196
6.847095263,0.716538276
6.91917971,0.747519993
6.991264156,0.778673831
7.063348603,0.809311307
7.135433049,0.839604542
7.207517496,0.869209295
7.279601942,0.898469805
7.351686389,0.927041834
7.428276113,0.956723084
7.509371115,0.986710327
7.590466118,1.015932588
7.676066398,1.045323146
7.766171956,1.075065595
7.860782792,1.104670347
7.959898906,1.133085902
8.05901502,1.16024967
8.158131134,1.185285402
8.257247248,1.208318274
8.356363362,1.229598646
8.455479476,1.249126516
8.554595589,1.267152243
8.653711703,1.282924754
8.752827817,1.297946192
8.851943931,1.311340308
8.951060045,1.323232281
9.050176159,1.333997645
9.149292273,1.343511223
9.248408387,1.351898193
9.347524501,1.359534091
9.446640615,1.36616856
9.545756729,1.372051957
9.644872843,1.377059103
9.743988957,1.381565535
9.84310507,1.385446073
9.942221184,1.388700718
10.0413373,1.391579827
10.14045341,1.393833043
10.23956953,1.39596108
10.33868564,1.397212867
10.43780175,1.398715011
10.53691787,1.399340904
10.63603398,1.400342333
10.7351501,1.400717869
